inst#,actual,predicted,error,prediction
1,5:bus_sitting,5:bus_sitting, ,0.98
2,5:bus_sitting,5:bus_sitting, ,0.99
3,5:bus_sitting,5:bus_sitting, ,0.96
4,5:bus_sitting,5:bus_sitting, ,1
5,5:bus_sitting,5:bus_sitting, ,0.99
6,5:bus_sitting,5:bus_sitting, ,1
7,5:bus_sitting,5:bus_sitting, ,0.5
8,5:bus_sitting,8:metroK_sitting,+,0.61
9,5:bus_sitting,8:metroK_sitting,+,0.48
10,5:bus_sitting,5:bus_sitting, ,0.46
11,5:bus_sitting,5:bus_sitting, ,0.8
12,5:bus_sitting,5:bus_sitting, ,0.99
13,5:bus_sitting,5:bus_sitting, ,0.99
14,5:bus_sitting,5:bus_sitting, ,0.96
15,5:bus_sitting,5:bus_sitting, ,0.97
16,5:bus_sitting,8:metroK_sitting,+,0.42
17,5:bus_sitting,5:bus_sitting, ,0.43
18,5:bus_sitting,5:bus_sitting, ,0.83
19,5:bus_sitting,5:bus_sitting, ,0.88
20,5:bus_sitting,5:bus_sitting, ,0.93
21,5:bus_sitting,5:bus_sitting, ,0.96
22,5:bus_sitting,5:bus_sitting, ,0.98
23,5:bus_sitting,5:bus_sitting, ,0.97
24,5:bus_sitting,5:bus_sitting, ,0.9
25,5:bus_sitting,5:bus_sitting, ,0.73
26,5:bus_sitting,5:bus_sitting, ,0.69
27,5:bus_sitting,5:bus_sitting, ,0.8
28,5:bus_sitting,5:bus_sitting, ,0.76
29,5:bus_sitting,5:bus_sitting, ,0.9
30,5:bus_sitting,5:bus_sitting, ,0.68
31,5:bus_sitting,5:bus_sitting, ,0.73
32,5:bus_sitting,5:bus_sitting, ,0.65
33,5:bus_sitting,10:metrobus_sitting,+,0.47
34,5:bus_sitting,10:metrobus_sitting,+,0.39
35,5:bus_sitting,5:bus_sitting, ,0.34
36,5:bus_sitting,5:bus_sitting, ,0.39
37,5:bus_sitting,5:bus_sitting, ,0.73
38,5:bus_sitting,5:bus_sitting, ,0.95
39,5:bus_sitting,5:bus_sitting, ,0.99
40,5:bus_sitting,5:bus_sitting, ,1
41,5:bus_sitting,5:bus_sitting, ,0.99
42,5:bus_sitting,5:bus_sitting, ,0.98
43,5:bus_sitting,5:bus_sitting, ,0.9
44,5:bus_sitting,5:bus_sitting, ,0.92
45,5:bus_sitting,5:bus_sitting, ,0.97
46,5:bus_sitting,5:bus_sitting, ,0.94
47,5:bus_sitting,5:bus_sitting, ,0.96
48,5:bus_sitting,5:bus_sitting, ,0.95
49,5:bus_sitting,5:bus_sitting, ,0.96
50,5:bus_sitting,5:bus_sitting, ,0.81
51,5:bus_sitting,5:bus_sitting, ,0.69
52,5:bus_sitting,5:bus_sitting, ,0.85
53,5:bus_sitting,5:bus_sitting, ,0.89
54,5:bus_sitting,5:bus_sitting, ,0.94
55,5:bus_sitting,5:bus_sitting, ,0.93
56,5:bus_sitting,5:bus_sitting, ,0.94
57,5:bus_sitting,5:bus_sitting, ,0.94
58,5:bus_sitting,5:bus_sitting, ,0.93
59,5:bus_sitting,5:bus_sitting, ,0.93
60,5:bus_sitting,5:bus_sitting, ,0.93
61,5:bus_sitting,5:bus_sitting, ,0.94
62,5:bus_sitting,5:bus_sitting, ,0.88
63,5:bus_sitting,5:bus_sitting, ,0.8
64,5:bus_sitting,5:bus_sitting, ,0.93
65,5:bus_sitting,5:bus_sitting, ,0.93
66,5:bus_sitting,5:bus_sitting, ,0.93
67,5:bus_sitting,5:bus_sitting, ,0.95
68,5:bus_sitting,5:bus_sitting, ,0.97
69,5:bus_sitting,5:bus_sitting, ,0.98
70,5:bus_sitting,5:bus_sitting, ,1
71,5:bus_sitting,5:bus_sitting, ,1
72,5:bus_sitting,5:bus_sitting, ,0.98
73,5:bus_sitting,5:bus_sitting, ,0.93
74,5:bus_sitting,5:bus_sitting, ,1
75,5:bus_sitting,5:bus_sitting, ,0.93
76,5:bus_sitting,5:bus_sitting, ,0.55
77,5:bus_sitting,5:bus_sitting, ,0.66
78,5:bus_sitting,5:bus_sitting, ,0.75
79,5:bus_sitting,5:bus_sitting, ,0.98
80,5:bus_sitting,5:bus_sitting, ,0.97
81,5:bus_sitting,5:bus_sitting, ,0.97
82,5:bus_sitting,5:bus_sitting, ,0.96
83,5:bus_sitting,5:bus_sitting, ,0.9
84,5:bus_sitting,5:bus_sitting, ,0.85
85,5:bus_sitting,5:bus_sitting, ,0.78
86,5:bus_sitting,5:bus_sitting, ,0.81
87,5:bus_sitting,5:bus_sitting, ,0.78
88,5:bus_sitting,5:bus_sitting, ,0.74
89,5:bus_sitting,5:bus_sitting, ,0.76
90,5:bus_sitting,5:bus_sitting, ,0.85
91,5:bus_sitting,5:bus_sitting, ,0.83
92,5:bus_sitting,5:bus_sitting, ,0.86
93,5:bus_sitting,5:bus_sitting, ,0.71
94,5:bus_sitting,5:bus_sitting, ,0.67
95,5:bus_sitting,5:bus_sitting, ,0.84
96,5:bus_sitting,5:bus_sitting, ,0.88
97,5:bus_sitting,5:bus_sitting, ,0.93
98,5:bus_sitting,5:bus_sitting, ,0.99
99,5:bus_sitting,5:bus_sitting, ,0.97
