=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     vehicle_classification
Instances:    20030
Attributes:   205
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 28.03 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,5:bus_sitting,5:bus_sitting,,0.96
2,5:bus_sitting,5:bus_sitting,,0.96
3,5:bus_sitting,5:bus_sitting,,0.95
4,5:bus_sitting,5:bus_sitting,,1
5,5:bus_sitting,5:bus_sitting,,1
6,5:bus_sitting,5:bus_sitting,,0.98
7,5:bus_sitting,5:bus_sitting,,0.46
8,5:bus_sitting,8:metroK_sitting,+,0.48
9,5:bus_sitting,5:bus_sitting,,0.41
10,5:bus_sitting,5:bus_sitting,,0.43
11,5:bus_sitting,5:bus_sitting,,0.69
12,5:bus_sitting,5:bus_sitting,,0.98
13,5:bus_sitting,5:bus_sitting,,0.98
14,5:bus_sitting,5:bus_sitting,,0.98
15,5:bus_sitting,5:bus_sitting,,0.95
16,5:bus_sitting,5:bus_sitting,,0.34
17,5:bus_sitting,5:bus_sitting,,0.46
18,5:bus_sitting,5:bus_sitting,,0.9
19,5:bus_sitting,5:bus_sitting,,0.94
20,5:bus_sitting,5:bus_sitting,,0.94
21,5:bus_sitting,5:bus_sitting,,0.92
22,5:bus_sitting,5:bus_sitting,,0.95
23,5:bus_sitting,5:bus_sitting,,0.99
24,5:bus_sitting,5:bus_sitting,,0.89
25,5:bus_sitting,5:bus_sitting,,0.75
26,5:bus_sitting,5:bus_sitting,,0.74
27,5:bus_sitting,5:bus_sitting,,0.76
28,5:bus_sitting,5:bus_sitting,,0.75
29,5:bus_sitting,5:bus_sitting,,0.96
30,5:bus_sitting,5:bus_sitting,,0.78
31,5:bus_sitting,5:bus_sitting,,0.73
32,5:bus_sitting,5:bus_sitting,,0.54
33,5:bus_sitting,10:metrobus_sitting,+,0.35
34,5:bus_sitting,8:metroK_sitting,+,0.41
35,5:bus_sitting,8:metroK_sitting,+,0.4
36,5:bus_sitting,5:bus_sitting,,0.36
37,5:bus_sitting,5:bus_sitting,,0.64
38,5:bus_sitting,5:bus_sitting,,0.94
39,5:bus_sitting,5:bus_sitting,,0.97
40,5:bus_sitting,5:bus_sitting,,0.97
41,5:bus_sitting,5:bus_sitting,,1
42,5:bus_sitting,5:bus_sitting,,0.98
43,5:bus_sitting,5:bus_sitting,,0.89
44,5:bus_sitting,5:bus_sitting,,0.89
45,5:bus_sitting,5:bus_sitting,,0.94
46,5:bus_sitting,5:bus_sitting,,0.94
47,5:bus_sitting,5:bus_sitting,,0.91
48,5:bus_sitting,5:bus_sitting,,0.97
49,5:bus_sitting,5:bus_sitting,,0.96
50,5:bus_sitting,5:bus_sitting,,0.78
51,5:bus_sitting,5:bus_sitting,,0.69
52,5:bus_sitting,5:bus_sitting,,0.83
53,5:bus_sitting,5:bus_sitting,,0.93
54,5:bus_sitting,5:bus_sitting,,0.96
55,5:bus_sitting,5:bus_sitting,,0.91
56,5:bus_sitting,5:bus_sitting,,0.96
57,5:bus_sitting,5:bus_sitting,,0.96
58,5:bus_sitting,5:bus_sitting,,0.93
59,5:bus_sitting,5:bus_sitting,,0.95
60,5:bus_sitting,5:bus_sitting,,0.96
61,5:bus_sitting,5:bus_sitting,,0.94
62,5:bus_sitting,5:bus_sitting,,0.81
63,5:bus_sitting,5:bus_sitting,,0.74
64,5:bus_sitting,5:bus_sitting,,0.94
65,5:bus_sitting,5:bus_sitting,,0.96
66,5:bus_sitting,5:bus_sitting,,0.94
67,5:bus_sitting,5:bus_sitting,,0.94
68,5:bus_sitting,5:bus_sitting,,0.94
69,5:bus_sitting,5:bus_sitting,,0.95
70,5:bus_sitting,5:bus_sitting,,0.96
71,5:bus_sitting,5:bus_sitting,,0.99
72,5:bus_sitting,5:bus_sitting,,0.99
73,5:bus_sitting,5:bus_sitting,,0.89
74,5:bus_sitting,5:bus_sitting,,0.97
75,5:bus_sitting,5:bus_sitting,,0.94
76,5:bus_sitting,5:bus_sitting,,0.59
77,5:bus_sitting,5:bus_sitting,,0.67
78,5:bus_sitting,5:bus_sitting,,0.72
79,5:bus_sitting,5:bus_sitting,,0.96
80,5:bus_sitting,5:bus_sitting,,0.95
81,5:bus_sitting,5:bus_sitting,,0.96
82,5:bus_sitting,5:bus_sitting,,0.95
83,5:bus_sitting,5:bus_sitting,,0.93
84,5:bus_sitting,5:bus_sitting,,0.85
85,5:bus_sitting,5:bus_sitting,,0.82
86,5:bus_sitting,5:bus_sitting,,0.83
87,5:bus_sitting,5:bus_sitting,,0.75
88,5:bus_sitting,5:bus_sitting,,0.74
89,5:bus_sitting,5:bus_sitting,,0.79
90,5:bus_sitting,5:bus_sitting,,0.83
91,5:bus_sitting,5:bus_sitting,,0.81
92,5:bus_sitting,5:bus_sitting,,0.86
93,5:bus_sitting,5:bus_sitting,,0.7
94,5:bus_sitting,5:bus_sitting,,0.7
95,5:bus_sitting,5:bus_sitting,,0.84
96,5:bus_sitting,5:bus_sitting,,0.87
97,5:bus_sitting,5:bus_sitting,,0.88
98,5:bus_sitting,5:bus_sitting,,0.99
99,5:bus_sitting,5:bus_sitting,,0.96
100,5:bus_sitting,5:bus_sitting,,0.99
101,5:bus_sitting,5:bus_sitting,,0.99
102,5:bus_sitting,5:bus_sitting,,0.99
103,5:bus_sitting,5:bus_sitting,,0.98
104,5:bus_sitting,5:bus_sitting,,0.89
105,5:bus_sitting,5:bus_sitting,,0.89
106,5:bus_sitting,5:bus_sitting,,0.9
107,5:bus_sitting,5:bus_sitting,,0.89
108,5:bus_sitting,5:bus_sitting,,0.89
109,5:bus_sitting,5:bus_sitting,,0.88
110,5:bus_sitting,5:bus_sitting,,0.89
111,5:bus_sitting,5:bus_sitting,,0.91
112,5:bus_sitting,5:bus_sitting,,0.88
113,5:bus_sitting,5:bus_sitting,,0.91
114,5:bus_sitting,5:bus_sitting,,0.92
115,5:bus_sitting,5:bus_sitting,,0.88
116,5:bus_sitting,5:bus_sitting,,0.84
117,5:bus_sitting,5:bus_sitting,,0.91
118,5:bus_sitting,5:bus_sitting,,0.93
119,5:bus_sitting,5:bus_sitting,,0.91
120,5:bus_sitting,5:bus_sitting,,0.92
121,5:bus_sitting,5:bus_sitting,,0.91
122,5:bus_sitting,5:bus_sitting,,0.9
123,5:bus_sitting,5:bus_sitting,,0.93
124,5:bus_sitting,5:bus_sitting,,0.92
125,5:bus_sitting,5:bus_sitting,,0.86
126,5:bus_sitting,5:bus_sitting,,0.85
127,5:bus_sitting,5:bus_sitting,,0.86
128,5:bus_sitting,5:bus_sitting,,0.88
129,5:bus_sitting,5:bus_sitting,,0.89
130,5:bus_sitting,5:bus_sitting,,0.99
131,5:bus_sitting,5:bus_sitting,,1
132,5:bus_sitting,5:bus_sitting,,0.96
133,5:bus_sitting,5:bus_sitting,,0.95
134,5:bus_sitting,5:bus_sitting,,0.98
135,5:bus_sitting,5:bus_sitting,,0.91
136,5:bus_sitting,5:bus_sitting,,0.95
137,5:bus_sitting,5:bus_sitting,,1
138,5:bus_sitting,5:bus_sitting,,1
139,5:bus_sitting,5:bus_sitting,,1
140,5:bus_sitting,5:bus_sitting,,1
141,5:bus_sitting,5:bus_sitting,,0.99
142,5:bus_sitting,5:bus_sitting,,0.98
143,5:bus_sitting,5:bus_sitting,,0.99
144,5:bus_sitting,5:bus_sitting,,0.98
145,5:bus_sitting,5:bus_sitting,,0.97
146,5:bus_sitting,5:bus_sitting,,0.97
147,5:bus_sitting,5:bus_sitting,,0.95
148,5:bus_sitting,5:bus_sitting,,0.99
149,5:bus_sitting,5:bus_sitting,,0.96
150,5:bus_sitting,5:bus_sitting,,0.99
151,5:bus_sitting,5:bus_sitting,,0.97
152,5:bus_sitting,5:bus_sitting,,0.91
153,5:bus_sitting,5:bus_sitting,,0.9
154,5:bus_sitting,5:bus_sitting,,0.95
155,5:bus_sitting,5:bus_sitting,,0.96
156,5:bus_sitting,5:bus_sitting,,1
157,5:bus_sitting,5:bus_sitting,,0.98
158,5:bus_sitting,5:bus_sitting,,0.98
159,5:bus_sitting,5:bus_sitting,,0.65
160,5:bus_sitting,5:bus_sitting,,0.66
161,5:bus_sitting,5:bus_sitting,,0.97
162,5:bus_sitting,5:bus_sitting,,0.78
163,5:bus_sitting,5:bus_sitting,,0.93
164,5:bus_sitting,5:bus_sitting,,0.95
165,5:bus_sitting,5:bus_sitting,,0.94
166,5:bus_sitting,5:bus_sitting,,0.96
167,5:bus_sitting,5:bus_sitting,,0.99
168,5:bus_sitting,5:bus_sitting,,0.96
169,5:bus_sitting,5:bus_sitting,,0.98
170,5:bus_sitting,5:bus_sitting,,0.85
171,5:bus_sitting,5:bus_sitting,,0.52
172,5:bus_sitting,5:bus_sitting,,0.82
173,5:bus_sitting,5:bus_sitting,,0.95
174,5:bus_sitting,5:bus_sitting,,0.94
175,5:bus_sitting,5:bus_sitting,,0.98
176,5:bus_sitting,5:bus_sitting,,0.98
177,5:bus_sitting,5:bus_sitting,,0.85
178,5:bus_sitting,5:bus_sitting,,0.56
179,5:bus_sitting,5:bus_sitting,,0.69
180,5:bus_sitting,8:metroK_sitting,+,0.57
181,5:bus_sitting,8:metroK_sitting,+,0.39
182,5:bus_sitting,8:metroK_sitting,+,0.46
183,5:bus_sitting,5:bus_sitting,,0.68
184,5:bus_sitting,5:bus_sitting,,0.96
