ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.037,2.616,9.233,-0.444,-0.125,-0.272,-6.9,-4.1,-43.0,7,2016-08-02 15:29:28:911
-0.783,2.036,7.368,-0.444,-0.125,-0.272,-6.9,-4.1,-43.0,106,2016-08-02 15:29:29:010
-0.783,2.036,7.368,-3.568,-1.178,1.36,-7.6,-1.3,-42.8,207,2016-08-02 15:29:29:111
0.698,-0.3,7.644,-3.568,-1.178,1.36,-7.6,-1.3,-42.8,307,2016-08-02 15:29:29:211
0.698,-0.3,7.644,-1.666,-1.758,0.479,-8.6,4.3,-41.7,407,2016-08-02 15:29:29:311
2.885,4.716,12.927,-1.666,-1.758,0.479,-8.6,4.3,-41.7,507,2016-08-02 15:29:29:411
2.885,4.716,12.927,-1.666,-1.758,0.479,-10.3,7.6,-41.3,606,2016-08-02 15:29:29:510
0.37,1.507,8.405,-0.207,-0.61,-0.251,-10.3,7.6,-41.3,707,2016-08-02 15:29:29:611
0.37,1.507,8.405,-0.207,-0.61,-0.251,-12.4,8.8,-40.7,806,2016-08-02 15:29:29:710
0.457,1.354,8.646,0.377,0.307,-0.055,-12.4,8.8,-40.7,906,2016-08-02 15:29:29:810
1.341,2.391,8.336,0.377,0.307,-0.055,-15.0,7.5,-40.0,1006,2016-08-02 15:29:29:910
1.341,2.391,8.336,0.377,0.307,-0.055,-15.0,7.5,-40.0,1106,2016-08-02 15:29:30:010
1.797,2.209,7.4,0.049,0.17,0.314,-15.5,6.7,-39.7,1206,2016-08-02 15:29:30:110
1.797,2.209,7.4,0.049,0.17,0.314,-15.5,6.7,-39.7,1306,2016-08-02 15:29:30:210
2.826,2.021,9.251,-0.285,-0.513,-0.231,-16.5,5.9,-39.0,1406,2016-08-02 15:29:30:310
2.826,2.021,9.251,-0.285,-0.513,-0.231,-16.5,5.9,-39.0,1507,2016-08-02 15:29:30:411
2.894,-0.199,7.134,0.294,0.027,0.892,-18.2,6.2,-37.7,1606,2016-08-02 15:29:30:510
2.894,-0.199,7.134,0.294,0.027,0.892,-18.2,6.2,-37.7,1706,2016-08-02 15:29:30:610
4.804,0.52,9.269,0.294,0.027,0.892,-22.7,8.9,-33.1,1806,2016-08-02 15:29:30:710
9.783,-11.096,-1.12,0.448,-0.228,1.717,-22.7,8.9,-33.1,1906,2016-08-02 15:29:30:810
9.783,-11.096,-1.12,0.448,-0.228,1.717,-26.1,16.1,-23.7,2007,2016-08-02 15:29:30:911
