ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.898,4.11,8.304,0.138,0.063,-0.12,-21.5,8.7,-36.1,9,2016-08-02 15:30:41:806
0.378,3.84,8.692,0.138,0.063,-0.12,-21.2,7.6,-36.3,109,2016-08-02 15:30:41:906
0.378,3.84,8.692,0.32,0.998,0.135,-21.2,7.6,-36.3,209,2016-08-02 15:30:42:006
-0.076,3.531,9.313,0.32,0.998,0.135,-20.0,6.2,-36.5,308,2016-08-02 15:30:42:105
-0.076,3.531,9.313,-0.252,0.494,-0.053,-20.0,6.2,-36.5,408,2016-08-02 15:30:42:205
-1.657,3.791,9.435,-0.252,0.494,-0.053,-17.1,5.3,-37.6,508,2016-08-02 15:30:42:305
-1.657,3.791,9.435,-0.252,0.494,-0.053,-17.1,5.3,-37.6,609,2016-08-02 15:30:42:406
0.129,3.788,9.173,-0.207,-0.759,0.288,-14.3,5.9,-38.5,709,2016-08-02 15:30:42:506
-0.083,3.861,8.581,-0.207,-0.759,0.288,-14.3,5.9,-38.5,809,2016-08-02 15:30:42:606
-0.083,3.861,8.581,-0.266,0.598,-0.357,-13.5,7.8,-38.8,909,2016-08-02 15:30:42:706
0.212,3.972,8.219,-0.266,0.598,-0.357,-13.5,7.8,-38.8,1009,2016-08-02 15:30:42:806
0.212,3.972,8.219,0.339,0.163,-0.207,-13.7,8.8,-38.8,1109,2016-08-02 15:30:42:906
-0.259,3.873,7.962,0.339,0.163,-0.207,-13.7,8.8,-38.8,1209,2016-08-02 15:30:43:006
-0.259,3.873,7.962,0.339,0.163,-0.207,-12.1,7.3,-39.4,1309,2016-08-02 15:30:43:106
-1.101,4.375,8.805,-0.203,0.337,-0.327,-12.1,7.3,-39.4,1409,2016-08-02 15:30:43:206
-1.101,4.375,8.805,-0.203,0.337,-0.327,-10.0,5.4,-40.3,1508,2016-08-02 15:30:43:305
-3.321,2.137,6.974,-0.103,-0.089,-0.081,-10.0,5.4,-40.3,1609,2016-08-02 15:30:43:406
-5.677,1.909,6.754,-0.103,-0.089,-0.081,-7.9,4.7,-40.4,1708,2016-08-02 15:30:43:505
-5.677,1.909,6.754,-0.103,-0.089,-0.081,-7.9,4.7,-40.4,1809,2016-08-02 15:30:43:606
-9.686,-7.789,5.026,0.583,1.298,-3.618,-2.7,6.1,-39.7,1909,2016-08-02 15:30:43:706
-9.686,-7.789,5.026,0.583,1.298,-3.618,-2.7,6.1,-39.7,2009,2016-08-02 15:30:43:806
-13.288,-5.693,3.428,-0.473,-0.66,0.185,8.2,12.4,-35.0,2109,2016-08-02 15:30:43:906
-13.288,-5.693,3.428,-0.473,-0.66,0.185,8.2,12.4,-35.0,2209,2016-08-02 15:30:44:006
-4.775,-6.514,1.539,0.637,0.41,0.142,12.7,22.0,-30.4,2309,2016-08-02 15:30:44:106
-4.775,-6.514,1.539,0.637,0.41,0.142,12.7,22.0,-30.4,2409,2016-08-02 15:30:44:206
-5.142,-6.644,3.442,0.637,0.41,0.142,10.3,30.0,-27.4,2509,2016-08-02 15:30:44:306
-0.226,-5.838,5.988,-1.218,-0.237,1.064,10.3,30.0,-27.4,2609,2016-08-02 15:30:44:406
-0.226,-5.838,5.988,-1.218,-0.237,1.064,3.1,32.6,-28.6,2709,2016-08-02 15:30:44:506
-6.291,-8.056,0.666,-1.62,2.432,-1.221,3.1,32.6,-28.6,2810,2016-08-02 15:30:44:607
-6.291,-8.056,0.666,-1.62,2.432,-1.221,3.8,35.6,-25.5,2911,2016-08-02 15:30:44:708
-5.694,-7.633,-0.45,0.129,0.079,-0.023,3.8,35.6,-25.5,3020,2016-08-02 15:30:44:817
-5.694,-7.633,-0.45,0.129,0.079,-0.023,5.5,39.2,-21.4,3111,2016-08-02 15:30:44:908
-4.708,-7.01,-2.37,0.129,0.079,-0.023,5.5,39.2,-21.4,3210,2016-08-02 15:30:45:007
-4.708,-7.01,-2.37,1.644,1.018,-0.756,6.1,42.6,-17.9,3310,2016-08-02 15:30:45:107
